,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
10, , ,"[TRVch# 250 Dt:30/11/2017] , Billno-KNG115372017100027",1,8420,0,0,8420
11, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,112969,20000,7259,85710
12, , ,"[TRVch# 123 Dt:07/11/2017] , Billno-KNG11537102017-005",1,51011,0,5341,45670
13, , ,"[TRVch# 251 Dt:30/11/2017] , Billno-KNG115372017100026",1,61958,20000,1918,40040
0,Grand Total, , ,7,510249,89002,13044,408203
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,7,510249,89002,13044,408203
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,157023,30001,1066,125956
3, , ,"[TRVch# 65 Dt:06/12/2017] , Billno-KNG11537112017-001",1,93574,15000,456,78118
4, , ,"[TRVch# 66 Dt:06/12/2017] , Billno-KNG11537112017-002",1,45639,15001,610,30028
5, , ,"[TRVch# 68 Dt:06/12/2017] , Billno-KNG115372017100028",1,17810,0,0,17810
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,96042,14000,1020,81022
7, , ,"[TRVch# 67 Dt:06/12/2017] , Billno-KNG11537112017-003",1,96042,14000,1020,81022
8, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,1,144215,25001,2539,116675
9, , ,"[TRVch# 104 Dt:06/12/2017] , Billno-KNG11537112017-004",1,144215,25001,2539,116675
10, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,112969,20000,8419,84550
11, , ,"[TRVch# 105 Dt:06/12/2017] , Billno-KNG11537112017-005",1,51011,0,6421,44590
12, , ,"[TRVch# 106 Dt:06/12/2017] , Billno-KNG11537112017-006",1,61958,20000,1998,39960
0,Grand Total, , ,8,544100,89002,11924,443174
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,8,544100,89002,11924,443174
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,155874,30001,666,125207
3, , ,"[TRVch# 119 Dt:19/01/2018] , Billno-KNG115372017100030",1,16661,0,0,16661
4, , ,"[TRVch# 77 Dt:09/01/2018] , Billno-KNG11537122017-001",1,93574,15000,136,78438
5, , ,"[TRVch# 78 Dt:09/01/2018] , Billno-KNG11537122017-002",1,45639,15001,530,30108
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,96042,14000,860,81182
7, , ,"[TRVch# 79 Dt:09/01/2018] , Billno-KNG11537122017-003",1,96042,14000,860,81182
8, ,05-2030-03-001-01-S00N-V-N-01-SALARIES,Total,1,35000,0,0,35000
9, , ,"[TRVch# 106 Dt:19/01/2018] , Billno-KNG115372017100031",1,35000,0,0,35000
10, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,1,144215,25001,2139,117075
11, , ,"[TRVch# 138 Dt:09/01/2018] , Billno-KNG11537122017-004",1,144215,25001,2139,117075
12, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,112969,20000,8259,84710
13, , ,"[TRVch# 139 Dt:09/01/2018] , Billno-KNG11537122017-005",1,51011,0,6341,44670
14, , ,"[TRVch# 140 Dt:09/01/2018] , Billno-KNG11537122017-006",1,61958,20000,1918,40040
0,Grand Total, , ,13,580373,92632,12361,475380
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,13,580373,92632,12361,475380
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,5,197209,18241,666,178302
3, , ,"[TRVch# 150 Dt:28/02/2018] , Billno-KNG115372017100032",1,5340,0,0,5340
