,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
19, , ,"[TRVch# 3889 Dt:30/10/2017] , Billno-MDI052082017100028",1,17650,0,0,17650
0,Grand Total, , ,7,392497,74000,16430,302067
1,MDI05-208-PR SSS KHUDDI,Total, ,7,392497,74000,16430,302067
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,103020,0,9,103011
3, , ,"[TRVch# 3782 Dt:30/11/2017] , Billno-MDI052082017100030",1,609,0,0,609
4, , ,"[TRVch# 939 Dt:08/11/2017] , Billno-MDI05208102017-001",1,16106,0,0,16106
5, , ,"[TRVch# 940 Dt:08/11/2017] , Billno-MDI05208102017-002",1,86305,0,9,86296
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,289477,74000,16421,199056
7, , ,"[TRVch# 941 Dt:08/11/2017] , Billno-MDI05208102017-003",1,91059,50000,10120,30939
8, , ,"[TRVch# 942 Dt:08/11/2017] , Billno-MDI05208102017-004",1,69142,24000,2530,42612
9, , ,"[TRVch# 943 Dt:08/11/2017] , Billno-MDI05208102017-005",1,16106,0,15,16091
10, , ,"[TRVch# 944 Dt:08/11/2017] , Billno-MDI05208102017-006",1,113170,0,3756,109414
0,Grand Total, , ,9,449080,74000,17550,357530
1,MDI05-208-PR SSS KHUDDI,Total, ,9,449080,74000,17550,357530
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,102411,0,409,102002
3, , ,"[TRVch# 788 Dt:06/12/2017] , Billno-MDI05208112017-001",1,16106,0,80,16026
4, , ,"[TRVch# 789 Dt:06/12/2017] , Billno-MDI05208112017-002",1,86305,0,329,85976
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,289477,74000,17141,198336
6, , ,"[TRVch# 790 Dt:06/12/2017] , Billno-MDI05208112017-003",1,91059,50000,10200,30859
7, , ,"[TRVch# 791 Dt:06/12/2017] , Billno-MDI05208112017-004",1,69142,24000,2610,42532
8, , ,"[TRVch# 792 Dt:06/12/2017] , Billno-MDI05208112017-005",1,16106,0,95,16011
9, , ,"[TRVch# 793 Dt:06/12/2017] , Billno-MDI05208112017-006",1,113170,0,4236,108934
10, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,19110,0,0,19110
11, , ,"[TRVch# 3054 Dt:21/12/2017] , Billno-MDI052082017100032",1,19110,0,0,19110
12, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1042,0,0,1042
13, , ,"[TRVch# 3571 Dt:30/12/2017] , Billno-MDI052082017100033",1,1042,0,0,1042
14, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,37040,0,0,37040
15, , ,"[TRVch# 3572 Dt:30/12/2017] , Billno-MDI052082017100034",1,37040,0,0,37040
0,Grand Total, , ,9,422143,74000,20988,327155
1,MDI05-208-PR SSS KHUDDI,Total, ,9,422143,74000,20988,327155
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,102411,0,9,102402
3, , ,"[TRVch# 898 Dt:09/01/2018] , Billno-MDI05208122017-001",1,16106,0,0,16106
4, , ,"[TRVch# 899 Dt:09/01/2018] , Billno-MDI05208122017-002",1,86305,0,9,86296
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,292782,74000,20979,197803
6, , ,"[TRVch# 900 Dt:09/01/2018] , Billno-MDI05208122017-003",1,93756,50000,10120,33636
7, , ,"[TRVch# 901 Dt:09/01/2018] , Billno-MDI05208122017-004",1,69142,24000,7030,38112
8, , ,"[TRVch# 902 Dt:09/01/2018] , Billno-MDI05208122017-005",1,16106,0,15,16091
9, , ,"[TRVch# 903 Dt:09/01/2018] , Billno-MDI05208122017-006",1,113778,0,3814,109964
10, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
11, , ,"[TRVch# 2798 Dt:22/01/2018] , Billno-MDI052082017100037",1,6510,0,0,6510
12, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,1920,0,0,1920
13, , ,"[TRVch# 2797 Dt:22/01/2018] , Billno-MDI052082017100035",1,1920,0,0,1920
14, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,18520,0,0,18520
15, , ,"[TRVch# 2799 Dt:22/01/2018] , Billno-MDI052082017100036",1,18520,0,0,18520
0,Grand Total, , ,12,719866,29000,21036,669830
1,MDI05-208-PR SSS KHUDDI,Total, ,12,719866,29000,21036,669830
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,150000,0,0,150000
3, , ,"[TRVch# 302 Dt:22/02/2018] , Billno-MDI052082017100050",1,150000,0,0,150000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,106632,0,9,106623
5, , ,"[TRVch# 3816 Dt:22/02/2018] , Billno-MDI052082017100039",1,1116,0,0,1116
6, , ,"[TRVch# 3817 Dt:22/02/2018] , Billno-MDI052082017100040",1,2502,0,0,2502
7, , ,"[TRVch# 895 Dt:07/02/2018] , Billno-MDI05208012018-001",1,16292,0,0,16292
8, , ,"[TRVch# 896 Dt:07/02/2018] , Billno-MDI05208012018-002",1,86722,0,9,86713
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,295436,29000,21027,245409
10, , ,"[TRVch# 897 Dt:07/02/2018] , Billno-MDI05208012018-003",1,94900,5000,10120,79780
11, , ,"[TRVch# 898 Dt:07/02/2018] , Billno-MDI05208012018-004",1,69981,24000,7030,38951
12, , ,"[TRVch# 899 Dt:07/02/2018] , Billno-MDI05208012018-005",1,16292,0,15,16277
13, , ,"[TRVch# 900 Dt:07/02/2018] , Billno-MDI05208012018-006",1,114263,0,3862,110401
14, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
15, , ,"[TRVch# 3797 Dt:22/02/2018] , Billno-MDI052082017100048",1,6510,0,0,6510
16, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,2,161288,0,0,161288
17, , ,"[TRVch# 3745 Dt:22/02/2018] , Billno-MDI052082017100038",1,142333,0,0,142333
18, , ,"[TRVch# 3818 Dt:22/02/2018] , Billno-MDI052082017100049",1,18955,0,0,18955
0,Grand Total, , ,22,639897,130124,89790,419983
1,MDI05-208-PR SSS KHUDDI,Total, ,22,639897,130124,89790,419983
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,120743,0,9,120734
3, , ,"[TRVch# 6917 Dt:28/03/2018] , Billno-MDI052082017100059",1,839,0,0,839
4, , ,"[TRVch# 6920 Dt:28/03/2018] , Billno-MDI052082017100061",1,5184,0,0,5184
5, , ,"[TRVch# 6921 Dt:28/03/2018] , Billno-MDI052082017100062",1,8859,0,0,8859
6, , ,"[TRVch# 847 Dt:07/03/2018] , Billno-MDI05208022018-001",1,16788,0,0,16788
7, , ,"[TRVch# 848 Dt:07/03/2018] , Billno-MDI05208022018-002",1,89073,0,9,89064
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,14,487809,130124,89781,267904
9, , ,"[TRVch# 5812 Dt:22/03/2018] , Billno-MDI052082017100031",1,3886,0,0,3886
10, , ,"[TRVch# 6913 Dt:28/03/2018] , Billno-MDI052082017100041",1,6694,6694,0,0
11, , ,"[TRVch# 6914 Dt:28/03/2018] , Billno-MDI052082017100042",1,5034,5034,0,0
12, , ,"[TRVch# 6915 Dt:28/03/2018] , Billno-MDI052082017100044",1,2863,0,287,2576
13, , ,"[TRVch# 6916 Dt:28/03/2018] , Billno-MDI052082017100058",1,1334,0,0,1334
14, , ,"[TRVch# 6918 Dt:28/03/2018] , Billno-MDI052082017100057",1,30964,0,0,30964
15, , ,"[TRVch# 6919 Dt:28/03/2018] , Billno-MDI052082017100060",1,5188,0,0,5188
16, , ,"[TRVch# 6939 Dt:28/03/2018] , Billno-MDI052082017100043",1,1116,0,0,1116
17, , ,"[TRVch# 6960 Dt:28/03/2018] , Billno-MDI052082017100065",1,53231,41131,12100,0
18, , ,"[TRVch# 6961 Dt:28/03/2018] , Billno-MDI052082017100063",1,73265,48265,25000,0
19, , ,"[TRVch# 849 Dt:07/03/2018] , Billno-MDI05208022018-003",1,97950,5000,45111,47839
20, , ,"[TRVch# 850 Dt:07/03/2018] , Billno-MDI05208022018-004",1,72218,24000,3406,44812
21, , ,"[TRVch# 851 Dt:07/03/2018] , Billno-MDI05208022018-005",1,16788,0,15,16773
22, , ,"[TRVch# 852 Dt:07/03/2018] , Billno-MDI05208022018-006",1,117278,0,3862,113416
23, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,2,12390,0,0,12390
24, , ,"[TRVch# 10350 Dt:31/03/2018] , Billno-MDI052082017100066",1,6510,0,0,6510
25, , ,"[TRVch# 5762 Dt:22/03/2018] , Billno-MDI052082017100053",1,5880,0,0,5880
26, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,18955,0,0,18955
27, , ,"[TRVch# 5763 Dt:22/03/2018] , Billno-MDI052082017100052",1,18955,0,0,18955
0,Grand Total, , ,6,411059,84000,4036,323023
1,MDI05-208-PR SSS KHUDDI,Total, ,6,411059,84000,4036,323023
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,106343,0,9,106334
3, , ,"[TRVch# 740 Dt:07/04/2018] , Billno-MDI05208032018-001",1,17270,0,0,17270
4, , ,"[TRVch# 741 Dt:07/04/2018] , Billno-MDI05208032018-002",1,89073,0,9,89064
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,304716,84000,4027,216689
6, , ,"[TRVch# 742 Dt:07/04/2018] , Billno-MDI05208032018-003",1,97950,60000,120,37830
7, , ,"[TRVch# 743 Dt:07/04/2018] , Billno-MDI05208032018-004",1,72218,24000,30,48188
