,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
13, , ,"[TRVch# 1113 Dt:07/03/2018] , Billno-MDI09212022018-004",1,68448,20000,8439,40009
14, , ,"[TRVch# 3475 Dt:19/03/2018] , Billno-MDI092122017100036",1,84587,0,4457,80130
15, , ,"[TRVch# 3476 Dt:19/03/2018] , Billno-MDI092122017100037",1,50322,45294,5028,0
16, , ,"[TRVch# 3477 Dt:19/03/2018] , Billno-MDI092122017100038",1,6268,6268,0,0
17, , ,"[TRVch# 3478 Dt:19/03/2018] , Billno-MDI092122017100042",1,68414,68414,0,0
18, , ,"[TRVch# 7137 Dt:28/03/2018] , Billno-MDI092122017100045",1,61242,0,12246,48996
19, , ,"[TRVch# 8995 Dt:31/03/2018] , Billno-MDI092122017100047",1,91546,40000,29650,21896
20, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,4818,0,0,4818
21, , ,"[TRVch# 9002 Dt:31/03/2018] , Billno-MDI092122017100048",1,4818,0,0,4818
22, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,1000000,0,0,1000000
23, , ,"[TRVch# 373 Dt:28/03/2018] , Billno-MDI092122017100043",1,1000000,0,0,1000000
24, ,29-2071-01-115-01-S00N-V-N-38-PENSIONS,Total,1,778550,0,0,778550
25, , ,"[TRVch# 374 Dt:28/03/2018] , Billno-MDI092122017100044",1,778550,0,0,778550
0,Grand Total, , ,5,423827,85000,20513,318314
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,5,423827,85000,20513,318314
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,122091,25000,4056,93035
3, , ,"[TRVch# 983 Dt:07/04/2018] , Billno-MDI09212032018-001",1,105303,25000,2582,77721
4, , ,"[TRVch# 984 Dt:07/04/2018] , Billno-MDI09212032018-002",1,16788,0,1474,15314
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,301736,60000,16457,225279
6, , ,"[TRVch# 985 Dt:07/04/2018] , Billno-MDI09212032018-003",1,91546,40000,4963,46583
7, , ,"[TRVch# 986 Dt:07/04/2018] , Billno-MDI09212032018-004",1,141742,0,11434,130308
8, , ,"[TRVch# 987 Dt:07/04/2018] , Billno-MDI09212032018-005",1,68448,20000,60,48388
0,Grand Total, , ,6,446386,95000,39533,311853
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,6,446386,95000,39533,311853
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,125899,25000,9066,91833
3, , ,"[TRVch# 1102 Dt:10/05/2018] , Billno-MDI09212042018-001",1,109111,25000,7582,76529
4, , ,"[TRVch# 1103 Dt:10/05/2018] , Billno-MDI09212042018-002",1,16788,0,1484,15304
5, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,17851,0,0,17851
6, , ,"[TRVch# 2576 Dt:24/05/2018] , Billno-MDI092122018100001",1,17851,0,0,17851
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,302636,70000,30467,202169
8, , ,"[TRVch# 1104 Dt:10/05/2018] , Billno-MDI09212042018-003",1,91546,50000,14963,26583
9, , ,"[TRVch# 1105 Dt:10/05/2018] , Billno-MDI09212042018-004",1,142642,0,12944,129698
10, , ,"[TRVch# 1106 Dt:10/05/2018] , Billno-MDI09212042018-005",1,68448,20000,2560,45888
0,Grand Total, , ,6,446803,95000,39533,312270
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,6,446803,95000,39533,312270
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,126316,25000,9066,92250
3, , ,"[TRVch# 1220 Dt:08/06/2018] , Billno-MDI09212052018-001",1,109528,25000,7582,76946
4, , ,"[TRVch# 1221 Dt:08/06/2018] , Billno-MDI09212052018-002",1,16788,0,1484,15304
5, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,17851,0,0,17851
6, , ,"[TRVch# 2546 Dt:21/06/2018] , Billno-MDI092122018100002",1,17851,0,0,17851
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,302636,70000,30467,202169
8, , ,"[TRVch# 1222 Dt:08/06/2018] , Billno-MDI09212052018-003",1,91546,50000,14963,26583
9, , ,"[TRVch# 1223 Dt:08/06/2018] , Billno-MDI09212052018-004",1,142642,0,12944,129698
