,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
5, , ,"[TRVch# 931 Dt:29/09/2017] , Billno-KNG072012017100028",1,371691,0,0,371691
6, , ,"[TRVch# 932 Dt:29/09/2017] , Billno-KNG072012017100029",1,128218,0,0,128218
7, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,422629,63000,23352,336277
8, , ,"[TRVch# 1827 Dt:08/09/2017] , Billno-KNG07201082017-001",1,273744,63000,4695,206049
9, , ,"[TRVch# 1828 Dt:08/09/2017] , Billno-KNG07201082017-002",1,148885,0,18657,130228
10, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,15900,0,0,15900
11, , ,"[TRVch# 1905 Dt:08/09/2017] , Billno-KNG072012017100032",1,15900,0,0,15900
12, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,842036,223000,43979,575057
13, , ,"[TRVch# 1829 Dt:08/09/2017] , Billno-KNG07201082017-003",1,149289,59000,9905,80384
14, , ,"[TRVch# 1830 Dt:08/09/2017] , Billno-KNG07201082017-004",1,518261,164000,14256,340005
15, , ,"[TRVch# 1831 Dt:08/09/2017] , Billno-KNG07201082017-005",1,174486,0,19818,154668
16, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,1500,0,0,1500
17, , ,"[TRVch# 3729 Dt:29/09/2017] , Billno-KNG072012017100037",1,1500,0,0,1500
18, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,5850,0,0,5850
19, , ,"[TRVch# 1896 Dt:08/09/2017] , Billno-KNG072012017100033",1,5850,0,0,5850
0,Grand Total, , ,6,1270703,275000,66497,929206
1,KNG07-201-GSSS  KHUNDIAN,Total, ,6,1270703,275000,66497,929206
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,428894,63000,22742,343152
3, , ,"[TRVch# 251 Dt:06/10/2017] , Billno-KNG07201092017-001",1,275741,63000,4695,208046
4, , ,"[TRVch# 252 Dt:06/10/2017] , Billno-KNG07201092017-002",1,153153,0,18047,135106
5, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,16710,0,0,16710
6, , ,"[TRVch# 4608 Dt:31/10/2017] , Billno-KNG072012017100036",1,16710,0,0,16710
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,825099,212000,43755,569344
8, , ,"[TRVch# 253 Dt:06/10/2017] , Billno-KNG07201092017-003",1,151747,60000,9905,81842
9, , ,"[TRVch# 254 Dt:06/10/2017] , Billno-KNG07201092017-004",1,495753,152000,13731,330022
10, , ,"[TRVch# 255 Dt:06/10/2017] , Billno-KNG07201092017-005",1,177599,0,20119,157480
0,Grand Total, , ,10,1436565,334433,65753,1036379
1,KNG07-201-GSSS  KHUNDIAN,Total, ,10,1436565,334433,65753,1036379
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,462857,63000,23919,375938
3, , ,"[TRVch# 1792 Dt:07/11/2017] , Billno-KNG07201102017-001",1,275741,63000,4695,208046
4, , ,"[TRVch# 1793 Dt:07/11/2017] , Billno-KNG07201102017-002",1,180388,0,19224,161164
5, , ,"[TRVch# 1894 Dt:07/11/2017] , Billno-KNG072012017100025",1,6728,0,0,6728
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,956998,271433,41834,643731
7, , ,"[TRVch# 1794 Dt:07/11/2017] , Billno-KNG07201102017-003",1,151747,60000,9905,81842
8, , ,"[TRVch# 1795 Dt:07/11/2017] , Billno-KNG07201102017-004",1,520207,152000,14264,353943
