,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
1,MDI10-226-GSSS POKHI,Total, ,12,546066,72063,54810,419193
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,214295,34258,25097,154940
3, , ,"[TRVch# 1293 Dt:07/03/2018] , Billno-MDI10226022018-001",1,30152,12000,15,18137
4, , ,"[TRVch# 1294 Dt:07/03/2018] , Billno-MDI10226022018-002",1,84294,0,25082,59212
5, , ,"[TRVch# 1295 Dt:07/03/2018] , Billno-MDI10226022018-003",1,17851,0,0,17851
6, , ,"[TRVch# 4515 Dt:22/03/2018] , Billno-MDI102262017100043",1,59740,0,0,59740
7, , ,"[TRVch# 4537 Dt:22/03/2018] , Billno-MDI102262017100044",1,22258,22258,0,0
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,317731,37805,29713,250213
9, , ,"[TRVch# 1296 Dt:07/03/2018] , Billno-MDI10226022018-004",1,55656,0,5127,50529
10, , ,"[TRVch# 1297 Dt:07/03/2018] , Billno-MDI10226022018-005",1,32222,14000,30,18192
11, , ,"[TRVch# 1298 Dt:07/03/2018] , Billno-MDI10226022018-006",1,114454,0,24521,89933
12, , ,"[TRVch# 4513 Dt:22/03/2018] , Billno-MDI102262017100045",1,23805,23805,0,0
13, , ,"[TRVch# 4514 Dt:22/03/2018] , Billno-MDI102262017100041",1,50231,0,35,50196
14, , ,"[TRVch# 4548 Dt:22/03/2018] , Billno-MDI102262017100039",1,41363,0,0,41363
15, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,14040,0,0,14040
16, , ,"[TRVch# 9222 Dt:31/03/2018] , Billno-MDI102262017100046",1,14040,0,0,14040
0,Grand Total, , ,6,335111,26000,41747,267364
1,MDI10-226-GSSS POKHI,Total, ,6,335111,26000,41747,267364
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,132297,12000,24983,95314
3, , ,"[TRVch# 1168 Dt:07/04/2018] , Billno-MDI10226032018-001",1,30152,12000,15,18137
4, , ,"[TRVch# 1169 Dt:07/04/2018] , Billno-MDI10226032018-002",1,84294,0,24968,59326
5, , ,"[TRVch# 1170 Dt:07/04/2018] , Billno-MDI10226032018-003",1,17851,0,0,17851
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,202814,14000,16764,172050
