,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
4, , ,"[TRVch# 56 Dt:06/12/2017] , Billno-KNG09537112017-002",1,218235,0,16510,201725
5, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,338255,44000,27187,267068
6, , ,"[TRVch# 57 Dt:06/12/2017] , Billno-KNG09537112017-003",1,97026,44000,1920,51106
7, , ,"[TRVch# 58 Dt:06/12/2017] , Billno-KNG09537112017-004",1,241229,0,25267,215962
8, ,05-2029-00-103-04-S00N-V-N-05-OFFICE EXPENSES,Total,1,1400,0,0,1400
9, , ,"[TRVch# 100 Dt:20/12/2017] , Billno-KNG095372017100051",1,1400,0,0,1400
10, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,388973,150250,7193,231530
11, , ,"[TRVch# 92 Dt:06/12/2017] , Billno-KNG09537112017-005",1,328190,150250,3641,174299
12, , ,"[TRVch# 93 Dt:06/12/2017] , Billno-KNG09537112017-006",1,60783,0,3552,57231
13, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,1,6300,0,160,6140
14, , ,"[TRVch# 239 Dt:30/12/2017] , Billno-KNG095372017100053",1,6300,0,160,6140
15, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,198674,78000,37609,83065
16, , ,"[TRVch# 94 Dt:06/12/2017] , Billno-KNG09537112017-007",1,71063,20000,5140,45923
17, , ,"[TRVch# 95 Dt:06/12/2017] , Billno-KNG09537112017-008",1,127611,58000,32469,37142
0,Grand Total, , ,15,1697538,440250,67138,1190150
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,15,1697538,440250,67138,1190150
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,7,757502,168000,23274,566228
3, , ,"[TRVch# 118 Dt:19/01/2018] , Billno-KNG095372017100057",1,35620,0,0,35620
4, , ,"[TRVch# 136 Dt:30/01/2018] , Billno-KNG095372017100062",1,8433,0,0,8433
5, , ,"[TRVch# 137 Dt:30/01/2018] , Billno-KNG095372017100061",1,11760,0,0,11760
6, , ,"[TRVch# 66 Dt:09/01/2018] , Billno-KNG09537122017-001",1,459029,168000,7724,283305
7, , ,"[TRVch# 67 Dt:09/01/2018] , Billno-KNG09537122017-002",1,218235,0,15550,202685
8, , ,"[TRVch# 70 Dt:09/01/2018] , Billno-KNG095372017100054",1,17333,0,0,17333
9, , ,"[TRVch# 71 Dt:09/01/2018] , Billno-KNG095372017100056",1,7092,0,0,7092
10, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,338255,44000,25747,268508
11, , ,"[TRVch# 68 Dt:09/01/2018] , Billno-KNG09537122017-003",1,97026,44000,1760,51266
12, , ,"[TRVch# 69 Dt:09/01/2018] , Billno-KNG09537122017-004",1,241229,0,23987,217242
13, ,05-2029-00-103-04-S00N-V-N-05-OFFICE EXPENSES,Total,1,3225,0,0,3225
14, , ,"[TRVch# 135 Dt:30/01/2018] , Billno-KNG095372017100059",1,3225,0,0,3225
15, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,389994,150250,6233,233511
16, , ,"[TRVch# 124 Dt:09/01/2018] , Billno-KNG09537122017-005",1,329211,150250,3001,175960
17, , ,"[TRVch# 125 Dt:09/01/2018] , Billno-KNG09537122017-006",1,60783,0,3232,57551
18, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
19, , ,"[TRVch# 190 Dt:19/01/2018] , Billno-KNG095372017100058",1,6510,0,0,6510
20, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,202052,78000,11884,112168
21, , ,"[TRVch# 126 Dt:09/01/2018] , Billno-KNG09537122017-007",1,71063,20000,5060,46003
22, , ,"[TRVch# 127 Dt:09/01/2018] , Billno-KNG09537122017-008",1,130989,58000,6824,66165
0,Grand Total, , ,11,1690609,420250,68615,1201744
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,11,1690609,420250,68615,1201744
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,689189,143000,26521,519668
3, , ,"[TRVch# 40 Dt:07/02/2018] , Billno-KNG09537012018-001",1,468952,143000,10824,315128
4, , ,"[TRVch# 41 Dt:07/02/2018] , Billno-KNG09537012018-002",1,220237,0,15697,204540
5, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,342786,44000,25950,272836
6, , ,"[TRVch# 42 Dt:07/02/2018] , Billno-KNG09537012018-003",1,99521,44000,1760,53761
