,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
7, , ,"[TRVch# 1476 Dt:08/06/2018] , Billno-KNG05255052018-003",1,81232,40000,3150,38082
8, , ,"[TRVch# 1477 Dt:08/06/2018] , Billno-KNG05255052018-004",1,36932,0,3347,33585
9, , ,"[TRVch# 3187 Dt:21/06/2018] , Billno-KNG052552018100006",1,58290,58290,0,0
10, , ,"[TRVch# 3188 Dt:21/06/2018] , Billno-KNG052552018100007",1,27079,0,0,27079
11, , ,"[TRVch# 3190 Dt:21/06/2018] , Billno-KNG052552018100009",1,7452,0,0,7452
12, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,7020,0,0,7020
13, , ,"[TRVch# 1506 Dt:08/06/2018] , Billno-KNG052552018100005",1,7020,0,0,7020
0,Grand Total, , ,4,361850,128000,14899,218951
1,KNG05-255-HM GHS BAIRGHAT,Total, ,4,361850,128000,14899,218951
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,243686,88000,8402,147284
3, , ,"[TRVch# 2559 Dt:09/07/2018] , Billno-KNG05255062018-001",1,209486,88000,8402,113084
4, , ,"[TRVch# 2560 Dt:09/07/2018] , Billno-KNG05255062018-002",1,34200,0,0,34200
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,118164,40000,6497,71667
6, , ,"[TRVch# 2561 Dt:09/07/2018] , Billno-KNG05255062018-003",1,81232,40000,3150,38082
7, , ,"[TRVch# 2562 Dt:09/07/2018] , Billno-KNG05255062018-004",1,36932,0,3347,33585
0,Grand Total, , ,6,371368,128000,14899,228469
1,KNG05-255-HM GHS BAIRGHAT,Total, ,6,371368,128000,14899,228469
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,247354,88000,8402,150952
3, , ,"[TRVch# 2493 Dt:09/08/2018] , Billno-KNG05255072018-001",1,210348,88000,8402,113946
4, , ,"[TRVch# 2494 Dt:09/08/2018] , Billno-KNG05255072018-002",1,34617,0,0,34617
5, , ,"[TRVch# 3377 Dt:31/08/2018] , Billno-KNG052552018100011",1,2389,0,0,2389
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,118164,40000,6497,71667
7, , ,"[TRVch# 2495 Dt:09/08/2018] , Billno-KNG05255072018-003",1,81232,40000,3150,38082
8, , ,"[TRVch# 2496 Dt:09/08/2018] , Billno-KNG05255072018-004",1,36932,0,3347,33585
9, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,5850,0,0,5850
10, , ,"[TRVch# 3376 Dt:31/08/2018] , Billno-KNG052552018100012",1,5850,0,0,5850
