,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
18, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,32130,0,0,32130
19, , ,"[TRVch# 2595 Dt:07/11/2017] , Billno-KNG142052017100029",1,32130,0,0,32130
0,Grand Total, , ,6,789075,175000,48867,565208
1,KNG14-205-GSSS AERLA,Total, ,6,789075,175000,48867,565208
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,223302,0,12128,211174
3, , ,"[TRVch# 2188 Dt:06/12/2017] , Billno-KNG14205112017-001",1,101004,0,338,100666
4, , ,"[TRVch# 2189 Dt:06/12/2017] , Billno-KNG14205112017-002",1,122298,0,11790,110508
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,565773,175000,36739,354034
6, , ,"[TRVch# 2190 Dt:06/12/2017] , Billno-KNG14205112017-003",1,85856,45000,15140,25716
7, , ,"[TRVch# 2191 Dt:06/12/2017] , Billno-KNG14205112017-004",1,451223,130000,19107,302116
8, , ,"[TRVch# 2192 Dt:06/12/2017] , Billno-KNG14205112017-005",1,25637,0,2492,23145
9, , ,"[TRVch# 3345 Dt:30/12/2017] , Billno-KNG142052017100040",1,3057,0,0,3057
0,Grand Total, , ,12,1020686,175000,47336,798350
1,KNG14-205-GSSS AERLA,Total, ,12,1020686,175000,47336,798350
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,234693,0,11797,222896
3, , ,"[TRVch# 2742 Dt:09/01/2018] , Billno-KNG14205122017-001",1,101004,0,18,100986
4, , ,"[TRVch# 2743 Dt:09/01/2018] , Billno-KNG14205122017-002",1,124679,0,11779,112900
5, , ,"[TRVch# 3580 Dt:30/01/2018] , Billno-KNG142052017100050",1,9010,0,0,9010
6, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,7020,0,0,7020
7, , ,"[TRVch# 2796 Dt:09/01/2018] , Billno-KNG142052017100048",1,7020,0,0,7020
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,562716,175000,35539,352177
9, , ,"[TRVch# 2744 Dt:09/01/2018] , Billno-KNG14205122017-003",1,85856,45000,15060,25796
10, , ,"[TRVch# 2745 Dt:09/01/2018] , Billno-KNG14205122017-004",1,451223,130000,18067,303156
11, , ,"[TRVch# 2746 Dt:09/01/2018] , Billno-KNG14205122017-005",1,25637,0,2412,23225
12, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,25620,0,0,25620
13, , ,"[TRVch# 2795 Dt:09/01/2018] , Billno-KNG142052017100047",1,25620,0,0,25620
14, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,2,14679,0,0,14679
15, , ,"[TRVch# 2792 Dt:09/01/2018] , Billno-KNG142052017100042",1,845,0,0,845
16, , ,"[TRVch# 2793 Dt:09/01/2018] , Billno-KNG142052017100044",1,13834,0,0,13834
17, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,2,175958,0,0,175958
18, , ,"[TRVch# 2794 Dt:09/01/2018] , Billno-KNG142052017100046",1,55560,0,0,55560
19, , ,"[TRVch# 3579 Dt:30/01/2018] , Billno-KNG142052017100049",1,120398,0,0,120398
0,Grand Total, , ,14,892490,198634,62398,631458
1,KNG14-205-GSSS AERLA,Total, ,14,892490,198634,62398,631458
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,241857,0,12832,229025
3, , ,"[TRVch# 1379 Dt:07/02/2018] , Billno-KNG14205012018-004",1,126177,0,11929,114248
4, , ,"[TRVch# 1380 Dt:07/02/2018] , Billno-KNG14205012018-005",1,101838,0,18,101820
5, , ,"[TRVch# 3567 Dt:19/02/2018] , Billno-KNG142052017100055",1,5004,0,0,5004
6, , ,"[TRVch# 3568 Dt:19/02/2018] , Billno-KNG142052017100056",1,8838,0,885,7953
7, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,21060,0,0,21060
8, , ,"[TRVch# 3506 Dt:19/02/2018] , Billno-KNG142052017100053",1,21060,0,0,21060
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,604108,198634,49566,355908
10, , ,"[TRVch# 1376 Dt:07/02/2018] , Billno-KNG14205012018-001",1,25943,0,2443,23500
11, , ,"[TRVch# 1377 Dt:07/02/2018] , Billno-KNG14205012018-002",1,455988,130000,31224,294764
12, , ,"[TRVch# 1378 Dt:07/02/2018] , Billno-KNG14205012018-003",1,86903,45000,15060,26843
13, , ,"[TRVch# 3569 Dt:19/02/2018] , Billno-KNG142052017100057",1,6222,6222,0,0
14, , ,"[TRVch# 3570 Dt:19/02/2018] , Billno-KNG142052017100059",1,1836,0,186,1650
15, , ,"[TRVch# 5333 Dt:28/02/2018] , Billno-KNG142052017100061",1,6456,0,653,5803
16, , ,"[TRVch# 5334 Dt:28/02/2018] , Billno-KNG142052017100060",1,20760,17412,0,3348
17, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
18, , ,"[TRVch# 3505 Dt:19/02/2018] , Billno-KNG142052017100052",1,6510,0,0,6510
19, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,18955,0,0,18955
20, , ,"[TRVch# 3507 Dt:19/02/2018] , Billno-KNG142052017100054",1,18955,0,0,18955
0,Grand Total, , ,25,1837836,259252,193262,1385322
1,KNG14-205-GSSS AERLA,Total, ,25,1837836,259252,193262,1385322
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,400000,0,0,400000
3, , ,"[TRVch# 190 Dt:17/03/2018] , Billno-KNG142052017100066",1,400000,0,0,400000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,439387,0,40043,399344
5, , ,"[TRVch# 2830 Dt:08/03/2018] , Billno-KNG14205022018-001",1,68056,0,9,68047
6, , ,"[TRVch# 2831 Dt:08/03/2018] , Billno-KNG14205022018-002",1,220896,0,33462,187434
7, , ,"[TRVch# 3281 Dt:17/03/2018] , Billno-KNG142052017100068",1,138995,0,6302,132693
8, , ,"[TRVch# 3282 Dt:17/03/2018] , Billno-KNG142052017100067",1,8752,0,0,8752
9, , ,"[TRVch# 9295 Dt:31/03/2018] , Billno-KNG142052017100075",1,2688,0,270,2418
10, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,612,0,0,612
11, , ,"[TRVch# 9360 Dt:31/03/2018] , Billno-KNG142052017100084",1,612,0,0,612
12, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,3,18460,0,0,18460
13, , ,"[TRVch# 9371 Dt:31/03/2018] , Billno-KNG142052017100078",1,7020,0,0,7020
14, , ,"[TRVch# 9372 Dt:31/03/2018] , Billno-KNG142052017100077",1,4420,0,0,4420
15, , ,"[TRVch# 9402 Dt:31/03/2018] , Billno-KNG142052017100079",1,7020,0,0,7020
16, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,899515,259252,153219,487044
17, , ,"[TRVch# 2832 Dt:08/03/2018] , Billno-KNG14205022018-003",1,89696,45000,60,44636
18, , ,"[TRVch# 2833 Dt:08/03/2018] , Billno-KNG14205022018-004",1,358753,130000,51053,177700
19, , ,"[TRVch# 2834 Dt:08/03/2018] , Billno-KNG14205022018-005",1,140098,0,46910,93188
20, , ,"[TRVch# 3283 Dt:17/03/2018] , Billno-KNG142052017100069",1,67572,46689,20883,0
21, , ,"[TRVch# 3284 Dt:17/03/2018] , Billno-KNG142052017100070",1,202524,37563,33556,131405
22, , ,"[TRVch# 3285 Dt:17/03/2018] , Billno-KNG142052017100071",1,36419,0,757,35662
23, , ,"[TRVch# 9294 Dt:31/03/2018] , Billno-KNG142052017100074",1,4453,0,0,4453
