,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
12, , ,"[TRVch# 187 Dt:09/02/2018] , Billno-KNR03200012018-006",1,137523,0,18136,119387
13, , ,"[TRVch# 397 Dt:22/02/2018] , Billno-KNR032002017100047",1,5304,5304,0,0
14, , ,"[TRVch# 398 Dt:22/02/2018] , Billno-KNR032002017100048",1,19024,13744,0,5280
15, , ,"[TRVch# 399 Dt:22/02/2018] , Billno-KNR032002017100049",1,12579,0,1176,11403
0,Grand Total, , ,18,1142705,552232,48568,541905
1,KNR03-200-GSSS MOORANG,Total, ,18,1142705,552232,48568,541905
2, ,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,37213,0,0,37213
3, , ,"[TRVch# 45 Dt:15/03/2018] , Billno-KNR032002017100061",1,37213,0,0,37213
4, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,36085,0,334,35751
5, , ,"[TRVch# 76 Dt:06/03/2018] , Billno-KNR03200022018-001",1,36085,0,334,35751
6, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,4,204869,140044,10100,54725
7, , ,"[TRVch# 592 Dt:22/03/2018] , Billno-KNR032002017100055",1,14757,0,0,14757
8, , ,"[TRVch# 593 Dt:22/03/2018] , Billno-KNR032002017100054",1,85044,85044,0,0
9, , ,"[TRVch# 77 Dt:06/03/2018] , Billno-KNR03200022018-002",1,74554,55000,8178,11376
10, , ,"[TRVch# 78 Dt:06/03/2018] , Billno-KNR03200022018-003",1,30514,0,1922,28592
11, ,31-2202-02-796-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,3456,0,0,3456
12, , ,"[TRVch# 594 Dt:22/03/2018] , Billno-KNR032002017100064",1,3456,0,0,3456
13, ,31-2202-02-796-02-S00N-V-N-05-OFFICE EXPENSES,Total,1,3375,0,0,3375
14, , ,"[TRVch# 448 Dt:15/03/2018] , Billno-KNR032002017100063",1,3375,0,0,3375
15, ,"31-2202-02-796-02-S00N-V-P-40-SCHOLARSHIPS,STIPENDS AND CONCESS.",Total,1,1250,0,0,1250
16, , ,"[TRVch# 634 Dt:22/03/2018] , Billno-KNR032002017100065",1,1250,0,0,1250
17, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,6,821864,412188,38134,371542
18, , ,"[TRVch# 134 Dt:06/03/2018] , Billno-KNR032002017100056",1,58011,58011,0,0
19, , ,"[TRVch# 135 Dt:06/03/2018] , Billno-KNR032002017100057",1,206177,206177,0,0
20, , ,"[TRVch# 136 Dt:06/03/2018] , Billno-KNR032002017100058",1,122516,0,0,122516
21, , ,"[TRVch# 79 Dt:06/03/2018] , Billno-KNR03200022018-004",1,78736,30000,4788,43948
22, , ,"[TRVch# 80 Dt:06/03/2018] , Billno-KNR03200022018-005",1,212448,118000,15210,79238
