,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
14, , ,"[TRVch# 52 Dt:10/07/2017] , Billno-KNG02537062017-004",1,166242,55000,2398,108844
15, , ,"[TRVch# 53 Dt:10/07/2017] , Billno-KNG02537062017-005",1,182968,0,10122,172846
16, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,1,122396,38000,2020,82376
17, , ,"[TRVch# 54 Dt:10/07/2017] , Billno-KNG02537062017-006",1,122396,38000,2020,82376
0,Grand Total, , ,10,1693232,438549,30591,1224092
1,KNG02-537-TEHSILDAR DEHRA,Total, ,10,1693232,438549,30591,1224092
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,4,1012961,310549,13331,689081
3, , ,"[TRVch# 135 Dt:21/08/2017] , Billno-KNG025372017100041",1,43430,0,0,43430
4, , ,"[TRVch# 136 Dt:21/08/2017] , Billno-KNG025372017100042",1,7810,0,0,7810
5, , ,"[TRVch# 58 Dt:08/08/2017] , Billno-KNG02537072017-001",1,781124,310549,6275,464300
6, , ,"[TRVch# 59 Dt:08/08/2017] , Billno-KNG02537072017-002",1,180597,0,7056,173541
7, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,158057,55000,2220,100837
8, , ,"[TRVch# 60 Dt:08/08/2017] , Billno-KNG02537072017-003",1,158057,55000,2220,100837
9, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,3,391181,55000,13020,323161
10, , ,"[TRVch# 195 Dt:21/08/2017] , Billno-KNG025372017100037",1,40467,0,0,40467
11, , ,"[TRVch# 61 Dt:08/08/2017] , Billno-KNG02537072017-004",1,167746,55000,2898,109848
12, , ,"[TRVch# 62 Dt:08/08/2017] , Billno-KNG02537072017-005",1,182968,0,10122,172846
13, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,1,124135,18000,2020,104115
14, , ,"[TRVch# 63 Dt:08/08/2017] , Billno-KNG02537072017-006",1,124135,18000,2020,104115
15, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,6898,0,0,6898
16, , ,"[TRVch# 57 Dt:08/08/2017] , Billno-KNG025372017100034",1,6898,0,0,6898
0,Grand Total, , ,8,1594641,429549,23738,1141354
1,KNG02-537-TEHSILDAR DEHRA,Total, ,8,1594641,429549,23738,1141354
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,975923,301549,13331,661043
3, , ,"[TRVch# 40 Dt:08/09/2017] , Billno-KNG02537082017-001",1,794110,301549,6275,486286
4, , ,"[TRVch# 41 Dt:08/09/2017] , Billno-KNG02537082017-002",1,181813,0,7056,174757
5, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,160664,55000,2220,103444
6, , ,"[TRVch# 42 Dt:08/09/2017] , Billno-KNG02537082017-003",1,160664,55000,2220,103444
7, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,4,331835,55000,6167,270668
8, , ,"[TRVch# 140 Dt:21/09/2017] , Billno-KNG025372017100043",1,19921,0,5,19916
9, , ,"[TRVch# 141 Dt:21/09/2017] , Billno-KNG025372017100044",1,6869,0,5,6864
10, , ,"[TRVch# 48 Dt:08/09/2017] , Billno-KNG02537082017-004",1,170549,55000,2898,112651
11, , ,"[TRVch# 49 Dt:08/09/2017] , Billno-KNG02537082017-005",1,134496,0,3259,131237
12, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,1,126219,18000,2020,106199
13, , ,"[TRVch# 50 Dt:08/09/2017] , Billno-KNG02537082017-006",1,126219,18000,2020,106199
0,Grand Total, , ,7,1626099,430549,38443,1157107
1,KNG02-537-TEHSILDAR DEHRA,Total, ,7,1626099,430549,38443,1157107
