,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
13, , ,"[TRVch# 2376 Dt:08/09/2017] , Billno-KNG102152017100043",1,1583,0,0,1583
14, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,17418,0,0,17418
15, , ,"[TRVch# 2375 Dt:08/09/2017] , Billno-KNG102152017100042",1,17418,0,0,17418
0,Grand Total, , ,9,1731451,413001,93835,1224615
1,KNG10-215-GSSS ALAMPUR,Total, ,9,1731451,413001,93835,1224615
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,675498,108000,38565,528933
3, , ,"[TRVch# 2501 Dt:09/10/2017] , Billno-KNG10215092017-001",1,406987,108000,8162,290825
4, , ,"[TRVch# 2502 Dt:09/10/2017] , Billno-KNG10215092017-002",1,268511,0,30403,238108
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,1004413,305001,55270,644142
6, , ,"[TRVch# 2503 Dt:09/10/2017] , Billno-KNG10215092017-003",1,158469,67000,9680,81789
7, , ,"[TRVch# 2504 Dt:09/10/2017] , Billno-KNG10215092017-004",1,640498,238001,22489,380008
8, , ,"[TRVch# 2505 Dt:09/10/2017] , Billno-KNG10215092017-005",1,205446,0,23101,182345
9, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,2,14500,0,0,14500
10, , ,"[TRVch# 2578 Dt:09/10/2017] , Billno-KNG102152017100045",1,12600,0,0,12600
11, , ,"[TRVch# 2579 Dt:09/10/2017] , Billno-KNG102152017100047",1,1900,0,0,1900
12, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,2,37040,0,0,37040
13, , ,"[TRVch# 2580 Dt:09/10/2017] , Billno-KNG102152017100048",1,18520,0,0,18520
14, , ,"[TRVch# 2581 Dt:09/10/2017] , Billno-KNG102152017100049",1,18520,0,0,18520
0,Grand Total, , ,13,2559588,565399,101823,1892366
1,KNG10-215-GSSS ALAMPUR,Total, ,13,2559588,565399,101823,1892366
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,748412,144501,41927,561984
