,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,115871,0,6052,109819
3, , ,"[TRVch# 260 Dt:02/11/2017] , Billno-MDI002502017100026",1,1539,0,0,1539
4, , ,"[TRVch# 95 Dt:01/11/2017] , Billno-MDI00250102017-001",1,55668,0,2130,53538
5, , ,"[TRVch# 96 Dt:01/11/2017] , Billno-MDI00250102017-002",1,58664,0,3922,54742
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,451505,128116,25180,298209
7, , ,"[TRVch# 100 Dt:01/11/2017] , Billno-MDI00250102017-006",1,23058,0,2130,20928
8, , ,"[TRVch# 258 Dt:02/11/2017] , Billno-MDI002502017100025",1,8116,8116,0,0
9, , ,"[TRVch# 259 Dt:02/11/2017] , Billno-MDI002502017100024",1,6842,0,684,6158
10, , ,"[TRVch# 97 Dt:01/11/2017] , Billno-MDI00250102017-003",1,79179,30000,6860,42319
11, , ,"[TRVch# 98 Dt:01/11/2017] , Billno-MDI00250102017-004",1,216778,55000,7301,154477
12, , ,"[TRVch# 99 Dt:01/11/2017] , Billno-MDI00250102017-005",1,117532,35000,8205,74327
0,Grand Total, , ,9,931186,120000,31926,779260
1,MDI00-250-GSSS NISHU,Total, ,9,931186,120000,31926,779260
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
3, , ,"[TRVch# 451 Dt:30/12/2017] , Billno-MDI002502017100031",1,300000,0,0,300000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,114332,0,6452,107880
5, , ,"[TRVch# 90 Dt:01/12/2017] , Billno-MDI00250112017-001",1,55668,0,2370,53298
6, , ,"[TRVch# 91 Dt:01/12/2017] , Billno-MDI00250112017-002",1,58664,0,4082,54582
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,516854,120000,25474,371380
8, , ,"[TRVch# 228 Dt:01/12/2017] , Billno-MDI00250112017-004",1,223662,55000,7861,160801
9, , ,"[TRVch# 302 Dt:06/12/2017] , Billno-MDI002502017100030",1,3669,0,0,3669
10, , ,"[TRVch# 303 Dt:06/12/2017] , Billno-MDI002502017100029",1,34877,0,9,34868
11, , ,"[TRVch# 92 Dt:01/12/2017] , Billno-MDI00250112017-003",1,79179,30000,6940,42239
12, , ,"[TRVch# 93 Dt:01/12/2017] , Billno-MDI00250112017-005",1,152409,35000,8454,108955
13, , ,"[TRVch# 94 Dt:01/12/2017] , Billno-MDI00250112017-006",1,23058,0,2210,20848
0,Grand Total, , ,6,593057,120000,30557,442500
1,MDI00-250-GSSS NISHU,Total, ,6,593057,120000,30557,442500
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,114749,0,6052,108697
3, , ,"[TRVch# 117 Dt:01/01/2018] , Billno-MDI00250122017-001",1,55668,0,2130,53538
4, , ,"[TRVch# 118 Dt:01/01/2018] , Billno-MDI00250122017-002",1,59081,0,3922,55159
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,478308,120000,24505,333803
6, , ,"[TRVch# 119 Dt:01/01/2018] , Billno-MDI00250122017-003",1,79179,30000,6860,42319
7, , ,"[TRVch# 120 Dt:01/01/2018] , Billno-MDI00250122017-005",1,152409,35000,8214,109195
8, , ,"[TRVch# 121 Dt:01/01/2018] , Billno-MDI00250122017-006",1,23058,0,2130,20928
9, , ,"[TRVch# 215 Dt:01/01/2018] , Billno-MDI00250122017-004",1,223662,55000,7301,161361
0,Grand Total, , ,8,606548,120000,33191,453357
1,MDI00-250-GSSS NISHU,Total, ,8,606548,120000,33191,453357
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,120336,0,6592,113744
