,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
1,KLU02-216-GSSS SHOWAD,Total, ,4,462561,102070,37292,323199
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,51037,0,0,51037
3, , ,"[TRVch# 642 Dt:07/02/2018] , Billno-KLU02216012018-001",1,51037,0,0,51037
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,411524,102070,37292,272162
5, , ,"[TRVch# 643 Dt:07/02/2018] , Billno-KLU02216012018-002",1,116545,25000,25720,65825
6, , ,"[TRVch# 644 Dt:07/02/2018] , Billno-KLU02216012018-003",1,192391,77070,7150,108171
7, , ,"[TRVch# 645 Dt:07/02/2018] , Billno-KLU02216012018-004",1,102588,0,4422,98166
0,Grand Total, , ,20,815767,363579,78305,373883
1,KLU02-216-GSSS SHOWAD,Total, ,20,815767,363579,78305,373883
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,51247,0,0,51247
3, , ,"[TRVch# 377 Dt:06/03/2018] , Billno-KLU02216022018-001",1,51247,0,0,51247
4, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1064,0,0,1064
5, , ,"[TRVch# 1999 Dt:26/03/2018] , Billno-KLU022162017100024",1,1064,0,0,1064
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,10,722295,363579,78305,280411
7, , ,"[TRVch# 2000 Dt:26/03/2018] , Billno-KLU022162017100028",1,8442,8442,0,0
8, , ,"[TRVch# 2001 Dt:26/03/2018] , Billno-KLU022162017100029",1,13728,13728,0,0
9, , ,"[TRVch# 2002 Dt:26/03/2018] , Billno-KLU022162017100030",1,3348,0,342,3006
10, , ,"[TRVch# 2004 Dt:26/03/2018] , Billno-KLU022162017100034",1,92003,92003,0,0
11, , ,"[TRVch# 2005 Dt:26/03/2018] , Billno-KLU022162017100035",1,147336,147336,0,0
12, , ,"[TRVch# 2006 Dt:26/03/2018] , Billno-KLU022162017100036",1,18042,0,0,18042
13, , ,"[TRVch# 2008 Dt:26/03/2018] , Billno-KLU022162017100038",1,16494,0,0,16494
14, , ,"[TRVch# 378 Dt:06/03/2018] , Billno-KLU02216022018-002",1,120296,25000,24490,70806
15, , ,"[TRVch# 379 Dt:06/03/2018] , Billno-KLU02216022018-003",1,198530,77070,49051,72409
16, , ,"[TRVch# 380 Dt:06/03/2018] , Billno-KLU02216022018-004",1,104076,0,4422,99654
17, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,5,14661,0,0,14661
18, , ,"[TRVch# 1984 Dt:26/03/2018] , Billno-KLU022162017100022",1,5154,0,0,5154
19, , ,"[TRVch# 1985 Dt:26/03/2018] , Billno-KLU022162017100026",1,1144,0,0,1144
20, , ,"[TRVch# 1986 Dt:26/03/2018] , Billno-KLU022162017100031",1,5896,0,0,5896
21, , ,"[TRVch# 1987 Dt:26/03/2018] , Billno-KLU022162017100027",1,871,0,0,871
22, , ,"[TRVch# 1988 Dt:26/03/2018] , Billno-KLU022162017100025",1,1596,0,0,1596
23, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,10000,0,0,10000
24, , ,"[TRVch# 2007 Dt:26/03/2018] , Billno-KLU022162017100037",1,10000,0,0,10000
25, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,2,16500,0,0,16500
26, , ,"[TRVch# 1983 Dt:26/03/2018] , Billno-KLU022162017100009",1,14047,0,0,14047
27, , ,"[TRVch# 2003 Dt:26/03/2018] , Billno-KLU022162017100032",1,2453,0,0,2453
0,Grand Total, , ,5,682719,67070,15396,600253
1,KLU02-216-GSSS SHOWAD,Total, ,5,682719,67070,15396,600253
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,200000,0,0,200000
3, , ,"[TRVch# 410 Dt:24/04/2018] , Billno-KLU022162018100001",1,200000,0,0,200000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,51247,0,0,51247
5, , ,"[TRVch# 353 Dt:05/04/2018] , Billno-KLU02216032018-001",1,51247,0,0,51247
