,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
14, , ,"[TRVch# 158 Dt:31/08/2017] , Billno-KLU045001782030020",1,80,0,80,0
15, , ,"[TRVch# 160 Dt:31/08/2017] , Billno-KLU045001782030022",1,160,0,160,0
16, , ,"[TRVch# 161 Dt:31/08/2017] , Billno-KLU045001782030023",1,80,0,80,0
17, , ,"[TRVch# 163 Dt:31/08/2017] , Billno-KLU045001782030025",1,200,0,200,0
18, , ,"[TRVch# 164 Dt:31/08/2017] , Billno-KLU045001782030026",1,520,0,520,0
19, , ,"[TRVch# 165 Dt:31/08/2017] , Billno-KLU045001782030027",1,40,0,40,0
20, , ,"[TRVch# 166 Dt:31/08/2017] , Billno-KLU045001782030028",1,160,0,160,0
21, , ,"[TRVch# 167 Dt:31/08/2017] , Billno-KLU045001782030029",1,400,0,400,0
22, , ,"[TRVch# 61 Dt:19/08/2017] , Billno-KLU045001782030003",1,80,0,80,0
23, , ,"[TRVch# 62 Dt:19/08/2017] , Billno-KLU045001782030004",1,240,0,240,0
24, , ,"[TRVch# 64 Dt:19/08/2017] , Billno-KLU045001782030006",1,120,0,120,0
25, , ,"[TRVch# 65 Dt:19/08/2017] , Billno-KLU045001782030007",1,40,0,40,0
26, , ,"[TRVch# 66 Dt:19/08/2017] , Billno-KLU045001782030008",1,120,0,120,0
27, , ,"[TRVch# 67 Dt:19/08/2017] , Billno-KLU045001782030009",1,280,0,280,0
28, , ,"[TRVch# 68 Dt:19/08/2017] , Billno-KLU045001782030010",1,80,0,80,0
29, , ,"[TRVch# 69 Dt:19/08/2017] , Billno-KLU045001782030011",1,120,0,120,0
30, , ,"[TRVch# 70 Dt:19/08/2017] , Billno-KLU045001782030012",1,80,0,80,0
31, , ,"[TRVch# 71 Dt:19/08/2017] , Billno-KLU045001782030013",1,120,0,120,0
32, , ,"[TRVch# 72 Dt:19/08/2017] , Billno-KLU045001782030014",1,400,0,400,0
0,Grand Total, , ,40,5334,0,5334,0
1,KLU04-500-TREASURY OFFICE,Total, ,40,5334,0,5334,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,11,254,0,254,0
3, , ,"[TRVch# 14 Dt:05/09/2017] , Billno-KLU045001792030002",1,30,0,30,0
4, , ,"[TRVch# 143 Dt:29/09/2017] , Billno-KLU045001792030026",1,40,0,40,0
5, , ,"[TRVch# 145 Dt:29/09/2017] , Billno-KLU045001792030028",1,14,0,14,0
6, , ,"[TRVch# 147 Dt:29/09/2017] , Billno-KLU045001792030030",1,20,0,20,0
7, , ,"[TRVch# 149 Dt:29/09/2017] , Billno-KLU045001792030032",1,20,0,20,0
8, , ,"[TRVch# 154 Dt:29/09/2017] , Billno-KLU045001792030037",1,20,0,20,0
9, , ,"[TRVch# 16 Dt:05/09/2017] , Billno-KLU045001792030004",1,20,0,20,0
10, , ,"[TRVch# 20 Dt:05/09/2017] , Billno-KLU045001792030008",1,20,0,20,0
11, , ,"[TRVch# 24 Dt:05/09/2017] , Billno-KLU045001792030012",1,30,0,30,0
12, , ,"[TRVch# 76 Dt:22/09/2017] , Billno-KLU045001792030014",1,10,0,10,0
13, , ,"[TRVch# 84 Dt:22/09/2017] , Billno-KLU045001792030022",1,30,0,30,0
14, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,29,5080,0,5080,0
15, , ,"[TRVch# 13 Dt:05/09/2017] , Billno-KLU045001792030001",1,240,0,240,0
16, , ,"[TRVch# 144 Dt:29/09/2017] , Billno-KLU045001792030027",1,240,0,240,0
17, , ,"[TRVch# 146 Dt:29/09/2017] , Billno-KLU045001792030029",1,200,0,200,0
18, , ,"[TRVch# 148 Dt:29/09/2017] , Billno-KLU045001792030031",1,80,0,80,0
19, , ,"[TRVch# 15 Dt:05/09/2017] , Billno-KLU045001792030003",1,120,0,120,0
20, , ,"[TRVch# 150 Dt:29/09/2017] , Billno-KLU045001792030033",1,120,0,120,0
21, , ,"[TRVch# 151 Dt:29/09/2017] , Billno-KLU045001792030034",1,100,0,100,0
22, , ,"[TRVch# 152 Dt:29/09/2017] , Billno-KLU045001792030035",1,120,0,120,0
23, , ,"[TRVch# 153 Dt:29/09/2017] , Billno-KLU045001792030036",1,160,0,160,0
24, , ,"[TRVch# 155 Dt:29/09/2017] , Billno-KLU045001792030038",1,160,0,160,0
25, , ,"[TRVch# 156 Dt:29/09/2017] , Billno-KLU045001792030039",1,200,0,200,0
26, , ,"[TRVch# 157 Dt:29/09/2017] , Billno-KLU045001792030040",1,200,0,200,0
27, , ,"[TRVch# 17 Dt:05/09/2017] , Billno-KLU045001792030005",1,80,0,80,0
28, , ,"[TRVch# 18 Dt:05/09/2017] , Billno-KLU045001792030006",1,400,0,400,0
29, , ,"[TRVch# 19 Dt:05/09/2017] , Billno-KLU045001792030007",1,200,0,200,0
30, , ,"[TRVch# 21 Dt:05/09/2017] , Billno-KLU045001792030009",1,60,0,60,0
31, , ,"[TRVch# 22 Dt:05/09/2017] , Billno-KLU045001792030010",1,120,0,120,0
32, , ,"[TRVch# 23 Dt:05/09/2017] , Billno-KLU045001792030011",1,400,0,400,0
33, , ,"[TRVch# 75 Dt:22/09/2017] , Billno-KLU045001792030013",1,400,0,400,0
34, , ,"[TRVch# 77 Dt:22/09/2017] , Billno-KLU045001792030015",1,80,0,80,0
